job_id,title,company,location,category,salary_avg,salary_min,salary_max,experience_level,employment_type,skills_required,date_posted,is_remote,month_posted,country,num_skills
1,Cybersecurity Analyst,Canva,"New York, USA",Cybersecurity,118339,71824,125409,Mid Level,Full-time,Penetration Testing|SIEM|Firewalls|Risk Assessment,2025-10-29,False,2025-10,USA,4
2,Data Engineer,InnoTech,"Sydney, Australia",Data,135524,93279,164863,Mid Level,Contract,AWS|Machine Learning|NumPy|Data Visualization,2025-10-30,False,2025-10,Australia,4
3,Ai Engineer,NexGen Systems,"Perth, Australia",Data,157026,107615,206438,Entry Level,Contract,Power BI|Pandas|Spark|Tableau|Excel,2025-12-22,False,2025-12,Australia,5
4,Business Intelligence Analyst,KPMG,"Perth, Australia",Data,86333,55711,116955,Senior Level,Part-time,Statistics|Excel|AWS,2026-01-13,False,2026-01,Australia,3
5,System Administrator,KPMG,"Sydney, Australia",IT Support,86463,58150,106543,Mid Level,Full-time,PowerShell|TCP/IP|Linux|Networking,2026-03-04,False,2026-03,Australia,4
6,Senior Data Scientist,FutureMind,"Melbourne, Australia",Data,158489,121065,180820,Senior Level,Part-time,Excel|R|AWS|NumPy|Azure,2025-12-01,False,2025-12,Australia,5
7,Web Developer,PivotPoint Data,"London, UK",Software,72334,45916,98752,Senior Level,Full-time,AWS|SQL|TypeScript|C#|Docker,2026-02-03,False,2026-02,UK,5
8,Backend Developer,Meta,"Sydney, Australia",Software,113755,72340,144339,Mid Level,Full-time,HTML/CSS|Azure|AWS|Kubernetes|.NET,2026-02-22,False,2026-02,Australia,5
9,Ux Designer,ClearPath Technologies,Remote,Design,82792,56796,117504,Senior Level,Full-time,Sketch|Wireframing|HTML/CSS|JavaScript|Prototyping|Adobe XD,2025-11-08,True,2025-11,Remote,6
10,Data Scientist,Datadog,"Melbourne, Australia",Data,126576,83797,157302,Lead/Manager,Contract,Tableau|TensorFlow|Machine Learning|R|Data Visualization,2026-03-29,False,2026-03,Australia,5
11,It Support Specialist,FutureMind,Singapore,IT Support,53122,37927,68317,Mid Level,Full-time,Backup|Office 365|Help Desk|ITIL|Networking,2026-02-18,False,2026-02,Singapore,5
12,It Support Specialist,Netflix,"Melbourne, Australia",IT Support,55031,35009,69813,Entry Level,Contract,Linux|DNS|TCP/IP,2026-01-27,False,2026-01,Australia,3
13,Senior Data Analyst,Woolworths Group,"Sydney, Australia",Data,118823,87962,138369,Lead/Manager,Internship,Power BI|Jupyter|AWS|R,2026-01-21,False,2026-01,Australia,4
14,Web Developer,TechCorp Solutions,"Melbourne, Australia",Software,81361,48295,106680,Entry Level,Full-time,REST APIs|Agile|MongoDB|React|.NET,2026-01-31,False,2026-01,Australia,5
15,Data Engineer,Horizon Digital,"Sydney, Australia",Data,132955,94641,158608,Entry Level,Full-time,NumPy|Excel|SQL,2026-01-04,False,2026-01,Australia,3
16,Devops Engineer,ANZ,"Sydney, Australia",Software,132480,88510,163834,Mid Level,Full-time,.NET|GraphQL|Azure|C#|React|JavaScript,2025-10-12,False,2025-10,Australia,6
17,Ux Designer,Atlassian,Remote,Design,86411,55887,126032,Senior Level,Full-time,Figma|Wireframing|User Research,2026-01-02,True,2026-01,Remote,3
18,Machine Learning Engineer,Spotify,"Sydney, Australia",Data,150221,103786,182350,Senior Level,Contract,Scikit-learn|Data Visualization|NumPy|Excel,2025-12-06,False,2025-12,Australia,4
19,Junior Data Analyst,Meta,"Sydney, Australia",Data,66964,48856,78697,Entry Level,Contract,NumPy|R|Machine Learning,2025-11-25,False,2025-11,Australia,3
20,Senior Data Scientist,Woolworths Group,"Bangalore, India",Data,74061,121209,175035,Senior Level,Full-time,Data Visualization|TensorFlow|Machine Learning|Jupyter|Power BI,2026-02-09,False,2026-02,India,5
21,Junior Data Analyst,Stripe,"Sydney, Australia",Data,58313,45138,65936,Entry Level,Full-time,Git|Google Cloud|R|SQL|Excel|Machine Learning,2026-02-10,False,2026-02,Australia,6
22,Full Stack Developer,Datadog,Remote,Software,107611,71964,154586,Mid Level,Full-time,MongoDB|TypeScript|Azure,2025-10-12,True,2025-10,Remote,3
23,Machine Learning Engineer,Spotify,"Melbourne, Australia",Data,146504,100147,178910,Mid Level,Internship,TensorFlow|Data Visualization|Spark|Excel,2026-03-27,False,2026-03,Australia,4
24,Senior Data Analyst,PivotPoint Data,"Adelaide, Australia",Data,108650,88808,128492,Lead/Manager,Part-time,Hadoop|Excel|NumPy|Google Cloud,2026-01-16,False,2026-01,Australia,4
25,It Support Specialist,Databricks,"London, UK",IT Support,53035,35128,70942,Senior Level,Full-time,Office 365|Linux|Active Directory|TCP/IP|PowerShell,2026-03-02,False,2026-03,UK,5
26,Network Administrator,Google,"Brisbane, Australia",IT Support,77603,53450,101757,Mid Level,Full-time,Help Desk|Troubleshooting|TCP/IP|Windows Server|Linux,2025-10-18,False,2025-10,Australia,5
27,Junior Software Developer,IBM,"Bangalore, India",Software,33145,47143,85438,Entry Level,Contract,REST APIs|CI/CD|Azure|Python,2026-03-01,False,2026-03,India,4
